ID,Залоги
889841,1
9234875,1
9160679,1
2297344,1
4293759,1
5464601,1
5049641,1
6589652,1
6783149,1
7762229,1
7213547,1
7128968,1
4450371,1
3979247,1
2131106,1
8310842,1
6405251,1
568088,1
8560582,1
9494634,1
2170954,1
3775528,1
7314902,1
3864265,1
8132453,1
5826482,1
5297933,1
4629650,1
5055660,1
1452315,1
6997887,1
9759213,1
8329004,1
5063455,1
6047870,1
7213533,1
57132,1
2131174,1
4232114,1
1105494,1
4192460,1
18226,1
8661551,1
4071399,1
7051351,1
10679211,1
7754617,1
10238508,1
9681114,1
395799,1
5826420,1
10010614,1
8388404,1
4615771,1
1316536,1
937051,1
6625992,1
1595703,1
1422914,1
6404986,1
5506607,1
9270220,1
10076323,1
5050820,1
10568376,1
5926239,1
11679479,1
9061838,1
7060804,1
7980143,1
8332446,1
8183998,1
4636444,1
5298686,1
936190,1
306640,1
11968814,1
5425627,1
5925719,1
8951133,1
7051410,1
9107959,1
9501343,1
8322082,1
6998746,1
4464190,1
6404613,1
8302054,1
7754625,1
6048148,1
8096682,1
10104510,1
4303140,1
7756251,1
4057223,1
6404981,1
6299733,1
4210616,1
1442428,1
5297526,1
10455563,1
9466578,1
4450353,1
6047614,1
4464323,1
6047617,1
1562364,1
567952,1
4608980,1
8815357,1
2063699,1
8034713,1
485116,1
568057,1
1361147,1
6626040,1
5050113,1
5927186,1
11435212,1
4283836,1
6935494,1
7062503,1
7889653,1
8041735,1
9037528,1
8630196,1
7064104,1
4450360,1
4190563,1
5927243,1
5927244,1
11500587,1
4228766,1
5426293,1
11618928,1
1549108,1
4303211,1
27347,1
5505280,1
7051413,1
7212834,1
8388618,1
8770837,1
4296213,1
9999392,1
2063552,1
6784491,1
1131719,1
270876,1
1602398,1
5050636,1
5505448,1
8705308,1
7414744,1
1131655,1
5297731,1
9955096,1
9035078,1
9923868,1
5323846,1
7002266,1
7526441,1
9100464,1
1029974,1
4852506,1
705181,1
5506205,1
2297353,1
2319581,1
5298925,1
4601979,1
11603263,1
8317888,1
2126696,1
5826404,1
4586256,1
5925918,1
1337342,1
6552455,1
5299168,1
4044996,1
10787551,1
4455271,1
1506081,1
2291912,1
4190608,1
6552326,1
6388588,1
10777371,1
6300550,1
1126364,1
485341,1
9513719,1
1491431,1
7968506,1
2065329,1
4852418,1
7886420,1
6998747,1
568143,1
7984510,1
5061361,1
7883113,1
8710093,1
7886530,1
10092720,1
9178553,1
5297406,1
7980243,1
1105507,1
8072540,1
6049065,1
8391729,1
5505246,1
133251,1
7886376,1
7762097,1
8628068,1
306621,1
11818093,1
7553860,1
4303169,1
8121654,1
1345260,1
6299958,1
11928166,1
8401112,1
568453,1
8617733,1
10854600,1
8601111,1
6888683,1
2291900,1
936753,1
8667548,1
8034352,1
8751715,1
7130174,1
3113340,1
7984558,1
7212597,1
815259,1
4629653,1
5299627,1
7886360,1
7591678,1
8428689,1
7496843,1
10041375,1
937503,1
5506172,1
7758966,1
8371597,1
4190565,1
8704741,1
7886287,1
1108306,1
2297394,1
5426282,1
9369041,1
5297490,1
6300649,1
5049152,1
4865203,1
8526584,1
5298250,1
936849,1
4602016,1
1595684,1
4605331,1
7001430,1
7183361,1
6782943,1
4612268,1
5050736,1
1131624,1
10029572,1
5925897,1
5297681,1
6783739,1
8228678,1
8785625,1
8224977,1
8034443,1
10509258,1
2291939,1
8155427,1
11894887,1
4057204,1
5926348,1
4915435,1
6589710,1
937982,1
8681432,1
1141451,1
6522904,1
2131258,1
9250583,1
2133304,1
5050379,1
9048174,1
936534,1
5298280,1
8555961,1
10545691,1
8606073,1
4417360,1
705253,1
8146239,1
4612324,1
568405,1
5050104,1
1442300,1
72206,1
8766909,1
5297466,1
5297468,1
6225926,1
7494003,1
937758,1
4188708,1
10732291,1
10209577,1
8707950,1
8496611,1
7430942,1
9995679,1
4061554,1
936733,1
10746915,1
7213190,1
8226368,1
5050108,1
936594,1
4852548,1
705125,1
5297488,1
4291224,1
1581409,1
5573,1
10527042,1
6405378,1
5185536,1
5687016,1
7064451,1
8199196,1
8284472,1
6048640,1
5298281,1
4273176,1
11375313,1
10722805,1
2167450,1
5298678,1
1829994,1
2113484,1
936423,1
4420117,1
1591237,1
7185692,1
198339,1
8035449,1
2323908,1
10149980,1
6300553,1
5927214,1
1340518,1
4303126,1
7050961,1
6047953,1
5049494,1
4455244,1
705080,1
937580,1
7161719,1
4296159,1
47422,1
9449057,1
5050682,1
247598,1
11457612,1
8281745,1
8205367,1
4835914,1
5049611,1
4296234,1
228559,1
5926855,1
1452464,1
2133389,1
6782917,1
8326485,1
8606001,1
9305286,1
7479643,1
8303437,1
6405252,1
8422795,1
7562683,1
9953452,1
8856,1
306603,1
79381,1
6299988,1
6784118,1
7883025,1
7984529,1
8640871,1
9645626,1
8059836,1
8034589,1
1145976,1
567777,1
8228285,1
5925370,1
57156,1
4867356,1
11433956,1
568182,1
937205,1
1105581,1
1527693,1
9513728,1
4595057,1
9390040,1
7553858,1
10031852,1
7486452,1
7447766,1
5297971,1
6782918,1
6404920,1
8198717,1
8561595,1
705313,1
5298617,1
279377,1
937836,1
8650153,1
10608642,1
2805823,1
10817458,1
7428965,1
7050771,1
1602345,1
8561440,1
10273726,1
9127995,1
6048138,1
8973335,1
3777347,1
6933776,1
5425921,1
5059335,1
7591680,1
8224677,1
5425622,1
9040910,1
7051345,1
4273126,1
1108309,1
2301573,1
6410697,1
57152,1
4053674,1
9019740,1
9046483,1
814452,1
12012707,1
7980152,1
8360621,1
7519458,1
4818093,1
11821590,1
4612347,1
4882121,1
9904015,1
936960,1
4608833,1
8456544,1
4933355,1
7512461,1
4622752,1
1452372,1
4602011,1
7128970,1
4283756,1
4615787,1
2291961,1
7652209,1
5426016,1
11867740,1
10843596,1
5925961,1
4464273,1
10951,1
1581413,1
7161806,1
5505264,1
8982527,1
5506632,1
8205372,1
568340,1
8681462,1
10918417,1
7380818,1
8918190,1
1107344,1
485413,1
1105492,1
11365780,1
7128637,1
8035332,1
5927329,1
9734633,1
8148,1
5926373,1
7340910,1
395773,1
6927853,1
4452798,1
10564635,1
5297984,1
8904,1
5926364,1
8153766,1
567970,1
4161322,1
8290166,1
6626105,1
4057283,1
7842,1
7947043,1
4057291,1
7189324,1
4073574,1
567824,1
52393,1
8825489,1
8064466,1
6997458,1
7884670,1
4836644,1
8973323,1
11855291,1
1082050,1
568332,1
4933452,1
4286262,1
8840442,1
12264241,1
10636586,1
8937307,1
2254399,1
8830290,1
4608777,1
8217650,1
4296180,1
5425809,1
16444,1
2131078,1
6405122,1
5506361,1
5297121,1
8543119,1
6898077,1
936928,1
5299552,1
8273835,1
5296977,1
395561,1
1029810,1
8558562,1
7984556,1
8719084,1
9773134,1
4452879,1
1361069,1
1712006,1
7212623,1
2064398,1
8720051,1
5299246,1
6404870,1
8892996,1
9641184,1
8205396,1
6589469,1
6552593,1
133252,1
5057412,1
8921136,1
5297788,1
5049960,1
8200833,1
7762262,1
2064451,1
10249560,1
8273821,1
936726,1
8217010,1
10940,1
15663,1
4281410,1
5297979,1
7585150,1
8531287,1
9923888,1
8146981,1
568115,1
5927070,1
4915496,1
6625884,1
5926739,1
8068809,1
6626221,1
568354,1
2314790,1
8033470,1
47075,1
7414613,1
2249597,1
9822843,1
6048624,1
7884600,1
306642,1
5050491,1
4852435,1
6784504,1
1549153,1
9999395,1
7551783,1
4452729,1
10580902,1
1118876,1
5297233,1
10171095,1
7884548,1
9612,1
395740,1
2064195,1
8836789,1
8229628,1
3770158,1
2063982,1
5925627,1
1442259,1
12421835,1
6048642,1
395578,1
4303183,1
1134680,1
4293732,1
1114812,1
4291293,1
5298255,1
6047811,1
10898401,1
5050074,1
9631316,1
11726541,1
7553862,1
5926527,1
395883,1
5927230,1
97389,1
8097538,1
8443012,1
11341619,1
5049598,1
4622788,1
819628,1
6047517,1
568436,1
7979996,1
8252352,1
3550562,1
64689,1
5504992,1
5925680,1
5925661,1
9434238,1
8593824,1
6783956,1
5886128,1
6928626,1
7984645,1
6784262,1
4057284,1
11451911,1
6226463,1
485443,1
6522854,1
8527664,1
8186277,1
270873,1
9453229,1
6049124,1
568364,1
9611087,1
2065094,1
5297796,1
5505158,1
2693642,1
11624394,1
4230383,1
7341290,1
6625966,1
6300013,1
5743175,1
7984188,1
9165556,1
7756209,1
5827103,1
5297789,1
9958916,1
9224903,1
9127944,1
5506623,1
1549186,1
1107143,1
7758755,1
1442332,1
9773119,1
8557161,1
4615774,1
4069508,1
9547847,1
2064785,1
5425473,1
4865137,1
7213636,1
8451391,1
5049251,1
5298020,1
4447920,1
10893689,1
9645650,1
7341234,1
7756308,1
7464569,1
7576121,1
4867414,1
8296745,1
1105599,1
4420090,1
1131623,1
705291,1
4232152,1
9263739,1
10158982,1
5505208,1
133243,1
6405470,1
8759371,1
8890782,1
7213647,1
7212683,1
2297384,1
6552236,1
7762088,1
9762341,1
10209542,1
4296155,1
10049374,1
6048781,1
4601926,1
8530038,1
9727368,1
4605430,1
1442327,1
8033601,1
7758937,1
6226496,1
9547864,1
9031112,1
6049041,1
5049396,1
10675269,1
8741747,1
5506283,1
1581513,1
5050084,1
5505511,1
72968,1
8033646,1
1830630,1
5059363,1
11936340,1
4188739,1
6589659,1
885818,1
10110466,1
8263275,1
4619214,1
5059452,1
886691,1
7758841,1
1452301,1
4296224,1
4629663,1
7128119,1
6890945,1
395738,1
7980043,1
1452420,1
1452378,1
7212944,1
7002335,1
1635810,1
8423864,1
846487,1
9995705,1
8313734,1
10909374,1
704965,1
6522879,1
9092768,1
8414128,1
9587502,1
6929369,1
270829,1
2285022,1
9384975,1
4933361,1
2297254,1
5506183,1
198415,1
10171092,1
2284975,1
4605422,1
6048954,1
5050145,1
8034992,1
12428232,1
8935648,1
937380,1
7986475,1
7984530,1
6226418,1
6299428,1
6047757,1
8950916,1
5927126,1
7980194,1
10854608,1
1581414,1
6960812,1
5925881,1
8835479,1
7161489,1
9547867,1
2321728,1
5927074,1
10183264,1
7762042,1
7212487,1
52392,1
11919235,1
4601929,1
5826206,1
8229428,1
1143783,1
7050363,1
11843793,1
4852476,1
7571038,1
1126354,1
306673,1
4296288,1
6962082,1
8904478,1
7183350,1
7183352,1
1142446,1
6048883,1
6404744,1
7980294,1
5425137,1
7212625,1
6589726,1
