ID,Лизинг
4417287,1
6959516,1
6782108,1
11181313,1
5464601,1
8888031,1
6589652,1
11376628,1
6897826,1
7213547,1
10459882,1
3979247,1
1378629,1
1326601,1
2131106,1
568088,1
4296207,1
8033494,1
3775528,1
7886559,1
6049290,1
7494791,1
705402,1
7213257,1
9759213,1
8329004,1
7984360,1
12114005,1
10463054,1
7473266,1
904008,1
11416664,1
5927164,1
57132,1
9984308,1
1157292,1
9178649,1
6626276,1
6049211,1
8450189,1
4071399,1
1442389,1
11605205,1
11641007,1
10492711,1
9636559,1
10463077,1
8035593,1
9681114,1
11817395,1
395799,1
8834762,1
5826420,1
4586226,1
8331941,1
8492600,1
9603026,1
568156,1
10819385,1
2131142,1
5827157,1
7440360,1
5505703,1
8813033,1
11691925,1
8832472,1
11766666,1
10076323,1
6049038,1
8492524,1
12061825,1
10272342,1
7314910,1
5050820,1
11870221,1
5050536,1
10751399,1
10568376,1
8984138,1
7051148,1
11679479,1
7468721,1
11818094,1
10494320,1
5926063,1
9568770,1
8906709,1
7380837,1
9178578,1
7980143,1
8957389,1
8332446,1
9107935,1
4619329,1
4283871,1
5297269,1
247700,1
11968814,1
10183269,1
9837060,1
5925719,1
9837052,1
11555064,1
4586333,1
6300461,1
11634520,1
10249583,1
11390860,1
6625911,1
4626272,1
6783742,1
12243664,1
8579403,1
4854721,1
10488962,1
9390099,1
8302054,1
7754625,1
6048148,1
11375310,1
5827185,1
7979983,1
6300088,1
9568760,1
12352733,1
11707307,1
12166220,1
4450441,1
395597,1
6299689,1
5505131,1
9250551,1
4850226,1
9263726,1
4450362,1
5505190,1
4210616,1
9357775,1
1442428,1
485264,1
5926606,1
9813894,1
8062708,1
10455563,1
4608980,1
4913304,1
568057,1
5425903,1
7314787,1
1361147,1
11976663,1
845267,1
8644528,1
5927186,1
7758892,1
485200,1
9675723,1
7889653,1
4850229,1
8343830,1
10699956,1
1097523,1
5925850,1
11982871,1
6890285,1
9557053,1
634988,1
1549108,1
5050017,1
10873132,1
10876080,1
9734678,1
11961146,1
9401699,1
485004,1
9070047,1
10064462,1
5297847,1
1635706,1
2126668,1
5298021,1
11761017,1
7051139,1
10826262,1
5926064,1
5050636,1
5505448,1
8783304,1
9063394,1
8981866,1
10249523,1
5050397,1
4933374,1
10836676,1
9092749,1
7984482,1
10651188,1
3150213,1
11891707,1
9100464,1
1029974,1
4062926,1
6522971,1
10732295,1
2297353,1
6522769,1
5826601,1
10249540,1
567933,1
10509239,1
11732840,1
9045189,1
8262027,1
10787545,1
8549470,1
11476569,1
4586256,1
5505814,1
9195991,1
1337342,1
6782599,1
10787551,1
11604649,1
6404918,1
4455271,1
279345,1
10538001,1
3875854,1
4190608,1
9611119,1
10497862,1
8697432,1
10777371,1
7576200,1
1126364,1
936882,1
485341,1
1491431,1
7968506,1
5298123,1
9476106,1
2065329,1
12280020,1
8310500,1
815910,1
1729426,1
1729428,1
9719396,1
6934581,1
6888485,1
568096,1
9956753,1
9963549,1
9178553,1
11980971,1
5050080,1
11582833,1
10734647,1
2189417,1
9411211,1
9070076,1
7380710,1
10876079,1
5926080,1
7526444,1
11952783,1
1133737,1
9568768,1
8072540,1
6783529,1
6782480,1
5505246,1
6625913,1
6047965,1
9674031,1
7886376,1
9915255,1
11818093,1
7039052,1
1126393,1
6962477,1
11702000,1
9434230,1
8412571,1
7758862,1
11814678,1
133232,1
9795801,1
4601889,1
12266697,1
6523017,1
1635818,1
12243875,1
8617733,1
10854600,1
9636430,1
9213837,1
9127949,1
7212581,1
7341095,1
6957766,1
8042074,1
10841907,1
8680571,1
8751715,1
8520764,1
8589940,1
8306011,1
10073822,1
11993773,1
9791566,1
8579088,1
1157900,1
484949,1
8659597,1
3107515,1
815259,1
9250539,1
7979995,1
9719362,1
7126956,1
7884536,1
7153083,1
8715375,1
10636596,1
10041375,1
937503,1
5506172,1
8973309,1
6552364,1
8810007,1
5299051,1
11848411,1
7984463,1
5061515,1
6934586,1
9036261,1
10400813,1
6300074,1
10667587,1
7380859,1
5827155,1
10126208,1
5426282,1
9923886,1
7212567,1
5926261,1
8443054,1
4865203,1
9055947,1
5050583,1
5298250,1
10400824,1
1549116,1
6404944,1
485031,1
5505180,1
4605331,1
52396,1
9062399,1
11405283,1
5970429,1
7001430,1
7183361,1
7553213,1
7064443,1
11975660,1
3868088,1
6930308,1
10583411,1
12504375,1
5297681,1
8344902,1
4586164,1
5050476,1
8556345,1
9006691,1
9417091,1
936825,1
1527701,1
5505263,1
4283807,1
10481987,1
4605480,1
9643363,1
8688470,1
8370865,1
8840090,1
1150406,1
8222753,1
5505115,1
8035207,1
8243082,1
1156473,1
10010598,1
7652210,1
8454254,1
395869,1
11936341,1
228412,1
6226014,1
4915435,1
11365783,1
8169304,1
705380,1
10635219,1
8839813,1
8498686,1
7161722,1
11390854,1
5297147,1
7064631,1
4296099,1
9250583,1
2291958,1
4425213,1
5061456,1
11615823,1
1635749,1
9185234,1
12011183,1
7980037,1
10516398,1
1140525,1
8956666,1
9675686,1
11400774,1
6964194,1
1025269,1
11758691,1
6888743,1
10843597,1
12518502,1
8606073,1
7521730,1
705253,1
8146239,1
4159523,1
9910057,1
6784350,1
568405,1
9185233,1
1442300,1
8259703,1
72206,1
6048160,1
1701630,1
4188709,1
2191001,1
8697586,1
9995679,1
5826536,1
6404660,1
9240175,1
8663762,1
8911978,1
9196006,1
11429397,1
7189646,1
10527042,1
5687016,1
7064451,1
329768,1
6552481,1
5826266,1
1442437,1
6404812,1
279206,1
11926482,1
5296953,1
5505200,1
11673477,1
6048640,1
4161254,1
5298281,1
10209570,1
10755463,1
10876069,1
5298678,1
8761518,1
7128123,1
4420117,1
9887915,1
9417095,1
6226144,1
7127768,1
8214881,1
6890516,1
10149980,1
6300553,1
11416658,1
5298120,1
7758696,1
1340518,1
846044,1
4303126,1
4455244,1
10583408,1
937580,1
7161719,1
25591,1
11744689,1
5826630,1
11726547,1
3171,1
